id,category,query,expected_label,notes
P01,prereq_check,"Can I take CS 162 if I completed CS 161?",eligible,"Direct prerequisite satisfied"
P02,prereq_check,"Can I take CS 162 if I completed CS 101?",not_eligible,"Missing CS 161 or equivalent"
P03,prereq_check,"Can I take CS 162 if I completed ENGR 103?",eligible,"Equivalent prerequisite path if catalog chunk exists"
P04,prereq_check,"Can I take CS 261 if I completed CS 162 and MTH 231?",eligible,"Both prerequisite groups satisfied"
P05,prereq_check,"Can I take CS 261 if I completed CS 162 and MTH 251?",not_eligible,"Missing second prerequisite group"
P06,prereq_check,"What do I need before taking CS 261?",need_more_info,"Should explain prerequisites with citations; no completed history given"
P07,prereq_check,"Can I take CS 162 if I have not taken CS 161 yet?",not_eligible,"Negation handling"
P08,prereq_check,"Am I eligible for CS 161?",clarify,"Missing placement/math completion details"
P09,prereq_check,"Can I take CS 162 if I completed DS 231?",eligible,"Equivalent prerequisite path if catalog chunk exists"
P10,prereq_check,"Can I take CS 261 if I completed CS 165 and CS 225?",eligible,"Alternate prerequisite path"

M01,prereq_chain,"If I have completed CS 161, what should I take before I can enroll in CS 261?",need_more_info,"Should identify intermediate prerequisites with citations"
M02,prereq_chain,"I completed CS 161. Can I take CS 261 next term?",not_eligible,"Requires multi-step reasoning"
M03,prereq_chain,"What sequence of courses should I complete to become eligible for CS 261 starting from CS 161?",need_more_info,"Should propose prerequisite path, not guess beyond docs"
M04,prereq_chain,"If I completed ENGR 103, what is the next CS course I can take before aiming for CS 261?",need_more_info,"Should chain ENGR 103 -> CS 162 path if supported"
M05,prereq_chain,"I completed CS 161 and want to plan toward Data Structures. What do I still need?",need_more_info,"Should surface remaining path and cite evidence"

G01,program_requirement,"What are the required lower-division CS courses for the major?",need_more_info,"Program requirement reasoning depends on ingested program pages"
G02,program_requirement,"How many elective credits are required in the program?",need_more_info,"Program-rule question"
G03,program_requirement,"Does the program require a minimum number of upper-division credits?",need_more_info,"Program policy / requirement question"
G04,program_requirement,"Which categories of required courses are listed for the CS degree?",need_more_info,"Program requirement categories"
G05,program_requirement,"Based on my completed courses CS 161 and CS 162, which major requirements have I already satisfied?",need_more_info,"Program-matching question"

N01,not_in_docs,"Is CS 261 offered in Fall 2026?",abstain,"Availability usually not in catalog"
N02,not_in_docs,"Who teaches CS 162 this semester?",abstain,"Instructor assignment not in catalog"
N03,not_in_docs,"Will the instructor waive the prerequisite for CS 261?",abstain,"Instructor discretion not in docs"
N04,not_in_docs,"How many seats are left in CS 162 right now?",abstain,"Live registration data not in catalog"
N05,not_in_docs,"Which professor is the easiest for CS 261?",abstain,"Subjective and not catalog-grounded"
