id,category,query,expected_label,actual_label,status,elapsed_s,citation_count,has_citation,asked_clarifying_question,abstained,answer_or_plan,why_count,clarifying_question_count,assumption_count,planner_result_present,manual_correct,review_notes
P01,prereq_check,Can I take CS 162 if I completed CS 161?,eligible,need_more_info,ok,2.923,1,TRUE,FALSE,FALSE,"You may be eligible to take CS 162 since you have completed CS 161, which is one of the prerequisite courses. However, eligibility also depends on having earned a minimum grade of C or better in CS 161. Please verify that you met this grade requirement to confirm your eligibility.",1,0,1,TRUE,1,
P02,prereq_check,Can I take CS 162 if I completed CS 101?,not_eligible,not_eligible,ok,3.079,1,TRUE,FALSE,FALSE,"You are not currently eligible to take CS 162. To become eligible, you need to complete one of the following prerequisite courses with a grade of C or better: CS 161, ENGR 103, ENGR 103H, or DS 231. Completing any one of these courses will allow you to take CS 162.",1,0,1,TRUE,1,
P03,prereq_check,Can I take CS 162 if I completed ENGR 103?,eligible,need_more_info,ok,2.032,1,TRUE,FALSE,FALSE,You may be eligible to take CS 162 if you completed ENGR 103 with a grade of C or better. Please verify that your grade in ENGR 103 meets this minimum requirement to confirm your eligibility.,1,0,1,TRUE,1,
P04,prereq_check,Can I take CS 261 if I completed CS 162 and MTH 231?,eligible,need_more_info,ok,2.589,1,TRUE,FALSE,FALSE,"You have completed the required courses CS 162 and MTH 231 for CS 261, but eligibility also depends on having earned a minimum grade in these courses. Please verify that you achieved the minimum required grades to confirm your eligibility.",1,0,1,TRUE,1,
P05,prereq_check,Can I take CS 261 if I completed CS 162 and MTH 251?,not_eligible,not_eligible,ok,2.224,1,TRUE,FALSE,FALSE,"You are not currently eligible to take CS 261. Although you have completed CS 162, you still need to complete one of the following courses: CS 225, MTH 231, or MTH 231H to meet the prerequisites.",1,0,1,TRUE,1,
P06,prereq_check,What do I need before taking CS 261?,need_more_info,clarify,ok,0.801,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,1,
P07,prereq_check,Can I take CS 162 if I have not taken CS 161 yet?,not_eligible,clarify,ok,1.009,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,0,
P08,prereq_check,Am I eligible for CS 161?,clarify,clarify,ok,0.706,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,1,
P09,prereq_check,Can I take CS 162 if I completed DS 231?,eligible,need_more_info,ok,1.983,1,TRUE,FALSE,FALSE,You may be eligible to take CS 162 if you completed DS 231 with a grade of C or better. Please verify that your grade in DS 231 meets this minimum requirement to confirm your eligibility.,1,0,1,TRUE,1,
P10,prereq_check,Can I take CS 261 if I completed CS 165 and CS 225?,eligible,need_more_info,ok,2.227,1,TRUE,FALSE,FALSE,"You may be eligible to take CS 261 since you have completed CS 165 and CS 225, which meet the course prerequisites. However, eligibility also depends on having earned the minimum required grades in these courses. Please verify that you received at least a grade of C in both CS 165 and CS 225 to confirm your eligibility.",1,0,1,TRUE,1,
M01,prereq_chain,"If I have completed CS 161, what should I take before I can enroll in CS 261?",need_more_info,not_eligible,ok,2.635,1,TRUE,FALSE,FALSE,"You are not currently eligible to enroll in CS 261. To become eligible, you need to complete the following prerequisite courses with a grade of C or better: one of CS 162, CS 162H, or CS 165, and one of CS 225, MTH 231, or MTH 231H.",1,0,1,TRUE,1,
M02,prereq_chain,I completed CS 161. Can I take CS 261 next term?,not_eligible,not_eligible,ok,2.413,1,TRUE,FALSE,FALSE,"You are not currently eligible to take CS 261. To become eligible, you need to complete the prerequisite courses: one of CS 162, CS 162H, or CS 165 with a C or better, and one of CS 225, MTH 231, or MTH 231H with a C or better.",1,0,1,TRUE,1,
